iter	Passed	Remaining
0	244	244130
1	350	174668
2	455	151280
3	552	137664
4	654	130152
5	768	127395
6	878	124569
7	1094	135717
8	1254	138084
9	1366	135332
10	1474	132600
11	1572	129471
12	1671	126900
13	1769	124651
14	1878	123376
15	1974	121422
16	2086	120629
17	2174	118641
18	2265	116946
19	2369	116117
20	2513	117197
21	2620	116508
22	2722	115650
23	2881	117168
24	3107	121186
25	3230	121026
26	3355	120928
27	3484	120958
28	3579	119851
29	3670	118690
30	3767	117760
31	3857	116676
32	3974	116479
33	4098	116442
34	4196	115701
35	4307	115342
36	4422	115108
37	4515	114323
38	4633	114181
39	4740	113777
40	4841	113236
41	4945	112799
42	5050	112394
43	5194	112858
44	5479	116295
45	5585	115832
46	5744	116471
47	5906	117142
48	6008	116605
49	6103	115966
50	6209	115540
51	6310	115047
52	6408	114501
53	6584	115347
54	6704	115202
55	6802	114676
56	6909	114306
57	7029	114168
58	7177	114481
59	7322	114714
60	7437	114493
61	7554	114290
62	7670	114085
63	7808	114200
64	7947	114325
65	8060	114074
66	8172	113806
67	8291	113640
68	8414	113539
69	8552	113620
70	8651	113195
71	8739	112636
72	8864	112567
73	8969	112238
74	9054	111667
75	9146	111197
76	9237	110731
77	9335	110354
78	9432	109960
79	9517	109452
80	9615	109090
81	9710	108712
82	9803	108307
83	9907	108039
84	9992	107561
85	10080	107137
86	10294	108028
87	10394	107721
88	10485	107333
89	10587	107055
90	10703	106921
91	10798	106574
92	10891	106219
93	10981	105845
94	11073	105489
95	11162	105113
96	11249	104728
97	11342	104393
98	11438	104103
99	11537	103841
100	11625	103476
101	11721	103196
102	11811	102860
103	11906	102579
104	12009	102362
105	12093	101998
106	12186	101707
107	12279	101416
108	12366	101090
109	12483	101001
110	12576	100727
111	12666	100429
112	12762	100179
113	12852	99886
114	12945	99623
115	13037	99353
116	13165	99357
117	13316	99537
118	13451	99587
119	13595	99703
120	13729	99740
121	13811	99398
122	13901	99116
123	13977	98741
124	14066	98465
125	14175	98327
126	14261	98035
127	14347	97744
128	14437	97483
129	14528	97226
130	14642	97135
131	14747	96976
132	14835	96711
133	14911	96369
134	15002	96128
135	15089	95860
136	15182	95641
137	15265	95356
138	15362	95160
139	15455	94942
140	15539	94671
141	15697	94850
142	15836	94906
143	15928	94688
144	16050	94643
145	16151	94477
146	16253	94315
147	16364	94204
148	16467	94051
149	16568	93888
150	16655	93644
151	16751	93454
152	16853	93300
153	16979	93277
154	17063	93023
155	17164	92862
156	17269	92729
157	17361	92522
158	17450	92302
159	17547	92125
160	17634	91895
161	17732	91725
162	17827	91546
163	17924	91371
164	18013	91158
165	18107	90973
166	18301	91289
167	18402	91135
168	18526	91099
169	18830	91935
170	19207	93118
171	19387	93332
172	19677	94067
173	19899	94465
174	20010	94334
175	20110	94155
176	20204	93943
177	20295	93724
178	20394	93543
179	20491	93348
180	20613	93272
181	20717	93113
182	20799	92860
183	20907	92719
184	21012	92568
185	21097	92330
186	21186	92109
187	21457	92677
188	21576	92584
189	21688	92462
190	21775	92231
191	21874	92053
192	21981	91913
193	22091	91781
194	22202	91654
195	22335	91619
196	22488	91666
197	22589	91499
198	22702	91380
199	22795	91183
200	22890	90993
201	22993	90836
202	23102	90701
203	23204	90543
204	23311	90404
205	23415	90253
206	23506	90051
207	23623	89952
208	23776	89986
209	23907	89939
210	24003	89756
211	24099	89577
212	24226	89511
213	24343	89412
214	24442	89241
215	24547	89099
216	24652	88955
217	24754	88798
218	24860	88657
219	24968	88526
220	25051	88304
221	25143	88116
222	25238	87938
223	25347	87811
224	25441	87632
225	25537	87458
226	25635	87295
227	25727	87113
228	25825	86949
229	25935	86826
230	26039	86685
231	26141	86536
232	26230	86345
233	26321	86164
234	26422	86013
235	26515	85837
236	26608	85663
237	26702	85492
238	26774	85251
239	26877	85113
240	26974	84953
241	27068	84786
242	27194	84718
243	27310	84617
244	27417	84490
245	27506	84308
246	27600	84141
247	27690	83964
248	27787	83810
249	27899	83697
250	28126	83930
251	28277	83934
252	28414	83894
253	28529	83791
254	28669	83759
255	28887	83955
256	29006	83859
257	29139	83803
258	29264	83725
259	29379	83617
260	29500	83529
261	29621	83436
262	29724	83297
263	29824	83147
264	29910	82960
265	30012	82817
266	30102	82640
267	30200	82487
268	30294	82323
269	30411	82223
270	30542	82159
271	30660	82062
272	30759	81912
273	30846	81731
274	30940	81570
275	31039	81422
276	31155	81319
277	31260	81186
278	31359	81038
279	31454	80882
280	31547	80719
281	31655	80597
282	31762	80472
283	31864	80333
284	31993	80264
285	32083	80095
286	32182	79950
287	32277	79796
288	32381	79665
289	32490	79544
290	32597	79420
291	32715	79323
292	32817	79186
293	32921	79055
294	33024	78923
295	33121	78776
296	33229	78655
297	33342	78545
298	33451	78425
299	33555	78295
300	33665	78179
301	33772	78056
302	33880	77936
303	33991	77823
304	34085	77669
305	34177	77514
306	34271	77362
307	34358	77196
308	34449	77036
309	34532	76862
310	34623	76706
311	34714	76548
312	34809	76403
313	34960	76378
314	35095	76318
315	35192	76175
316	35285	76024
317	35377	75873
318	35476	75735
319	35569	75585
320	35667	75446
321	35779	75337
322	35911	75270
323	36008	75128
324	36092	74962
325	36183	74809
326	36275	74658
