iter	Passed	Remaining
0	127	127167
1	267	133684
2	391	130054
3	499	124494
4	612	121969
5	700	115974
6	807	114562
7	907	112509
8	1186	130603
9	1304	129124
10	1400	125902
11	1491	122779
12	1595	121155
13	1689	118964
14	1785	117224
15	1885	115943
16	1979	114467
17	2078	113371
18	2154	111224
19	2248	110178
20	2363	110190
21	2471	109891
22	2580	109625
23	2691	109446
24	2800	109209
25	2906	108871
26	3021	108882
27	3181	110438
28	3321	111219
29	3461	111913
30	3562	111363
31	3676	111201
32	3780	110767
33	3883	110323
34	3967	109384
35	4061	108746
36	4161	108318
37	4257	107787
38	4351	107226
39	4436	106486
40	4519	105704
41	4613	105234
42	4709	104802
43	4804	104388
44	4904	104087
45	4998	103671
46	5091	103229
47	5183	102814
48	5279	102472
49	5380	102236
50	5476	101907
51	5561	101390
52	5680	101500
53	5780	101268
54	5887	101152
55	5986	100908
56	6079	100574
57	6171	100238
58	6264	99918
59	6349	99478
60	6446	99231
61	6539	98934
62	6642	98796
63	6739	98557
64	6840	98397
65	6942	98243
66	7030	97907
67	7135	97792
68	7225	97498
69	7323	97300
70	7424	97145
71	7513	96842
72	7606	96594
73	7700	96359
74	7795	96146
75	7920	96294
76	8025	96202
77	8125	96053
78	8213	95749
79	8392	96510
80	8496	96398
81	8602	96309
82	8697	96087
83	8794	95897
84	8898	95789
85	9000	95654
86	9095	95455
87	9193	95282
88	9287	95066
89	9383	94873
90	9483	94727
91	9573	94486
92	9663	94244
93	9761	94081
94	9857	93902
95	9960	93796
96	10042	93489
97	10177	93669
98	10274	93505
99	10367	93307
100	10461	93121
101	10557	92948
102	10653	92779
103	10740	92533
104	10839	92393
105	10916	92069
106	11010	91894
107	11100	91684
108	11190	91471
109	11283	91290
110	11368	91051
111	11459	90859
112	11556	90713
113	11648	90531
114	11749	90422
115	11843	90253
116	11925	90000
117	12031	89929
118	12125	89767
119	12224	89649
120	12338	89633
121	12440	89531
122	12537	89392
123	12631	89233
124	12705	88940
125	12807	88841
126	12901	88687
127	12989	88492
128	13075	88283
129	13156	88046
130	13245	87866
131	13338	87709
132	13458	87733
133	13607	87938
134	13697	87763
135	13914	88399
136	14030	88384
137	14142	88341
138	14241	88213
139	14337	88072
140	14440	87973
141	14562	87992
142	14685	88009
143	14785	87889
144	14887	87783
145	15000	87740
146	15096	87602
147	15205	87533
148	15300	87387
149	15404	87293
150	15503	87170
151	15591	86982
152	15697	86900
153	15781	86697
154	15876	86552
155	15989	86509
156	16101	86454
157	16221	86447
158	16331	86380
159	16443	86330
160	16540	86193
161	16634	86048
162	16735	85937
163	16855	85923
164	16960	85832
165	17050	85661
166	17138	85486
167	17223	85295
168	17314	85135
169	17410	85004
170	17503	84857
171	17608	84764
172	17707	84647
173	17813	84561
174	17917	84468
175	18016	84351
176	18108	84201
177	18214	84115
178	18308	83971
179	18402	83835
180	18510	83757
181	18651	83827
182	18791	83892
183	18896	83799
184	19010	83750
185	19129	83718
186	19238	83640
187	19335	83511
188	19432	83385
189	19543	83316
190	19644	83207
191	19753	83129
192	19865	83063
193	19962	82937
194	20068	82848
195	20168	82731
196	20275	82646
197	20376	82535
198	20469	82393
199	20584	82338
200	20680	82206
201	20785	82111
202	20895	82038
203	20998	81936
204	21098	81822
205	21200	81714
206	21328	81706
207	21440	81640
208	21538	81514
209	21639	81407
210	21737	81282
211	21837	81170
212	21941	81069
213	22028	80909
214	22122	80771
215	22227	80677
216	22323	80548
217	22397	80342
218	22477	80159
219	22575	80040
220	22681	79948
221	22783	79843
222	22865	79671
223	22965	79559
224	23067	79454
225	23170	79352
226	23272	79250
227	23390	79197
228	23512	79162
229	23618	79071
230	23726	78986
231	23889	79081
232	24010	79039
233	24115	78942
234	24209	78809
235	24304	78681
236	24405	78571
237	24507	78466
238	24606	78350
239	24709	78247
240	24808	78129
241	24904	78006
242	25002	77889
243	25099	77767
244	25193	77637
245	25311	77579
246	25410	77464
247	25527	77405
248	25643	77342
249	25772	77316
250	25877	77220
251	25995	77160
252	26104	77075
253	26192	76926
254	26303	76847
